id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
li-4302419141,linkedin,https://www.linkedin.com/jobs/view/4302419141,,Web Application Engineer,Google,"Bengaluru, Karnataka, India",18-09-2025,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/google,,,,,,,,,,,,
li-4302271002,linkedin,https://www.linkedin.com/jobs/view/4302271002,,Software Engineer,Swiggy,"Bengaluru, Karnataka, India",18-09-2025,,,,,,,FALSE,,,,,,,https://in.linkedin.com/company/swiggy-in,,,,,,,,,,,,
li-4280558180,linkedin,https://www.linkedin.com/jobs/view/4280558180,,FRONT END DEVELOPER,Zensar Technologies,"Karnataka, India",17-09-2025,,,,,,,FALSE,,,,,,,https://in.linkedin.com/company/zensar,,,,,,,,,,,,
li-4303035107,linkedin,https://www.linkedin.com/jobs/view/4303035107,,Software Engineering Intern,Microsoft,"Karnataka, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303042040,linkedin,https://www.linkedin.com/jobs/view/4303042040,,Software Engineering Intern,Microsoft,"Maharashtra, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303035109,linkedin,https://www.linkedin.com/jobs/view/4303035109,,Software Engineering Intern,Microsoft,"Telangana, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303043047,linkedin,https://www.linkedin.com/jobs/view/4303043047,,Software Engineering Intern,Microsoft,"Delhi, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303028179,linkedin,https://www.linkedin.com/jobs/view/4303028179,,Software Engineering Intern,Microsoft,"Andhra Pradesh, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303034113,linkedin,https://www.linkedin.com/jobs/view/4303034113,,Software Engineering Intern,Microsoft,"Goa, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303037111,linkedin,https://www.linkedin.com/jobs/view/4303037111,,Software Engineering Intern,Microsoft,"Haryana, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303039058,linkedin,https://www.linkedin.com/jobs/view/4303039058,,Software Engineering Intern,Microsoft,"Lakshadweep, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303039060,linkedin,https://www.linkedin.com/jobs/view/4303039060,,Software Engineering Intern,Microsoft,"Uttar Pradesh, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4279817430,linkedin,https://www.linkedin.com/jobs/view/4279817430,,Frontend Developer,IBM,"Bengaluru, Karnataka, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/ibm,,,,,,,,,,,,
li-4303030135,linkedin,https://www.linkedin.com/jobs/view/4303030135,,Software Engineering Intern,Microsoft,"Tamil Nadu, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303035108,linkedin,https://www.linkedin.com/jobs/view/4303035108,,Software Engineering Intern,Microsoft,"Kerala, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303043048,linkedin,https://www.linkedin.com/jobs/view/4303043048,,Software Engineering Intern,Microsoft,"Uttarakhand, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303044044,linkedin,https://www.linkedin.com/jobs/view/4303044044,,Software Engineering Intern,Microsoft,"West Bengal, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303038081,linkedin,https://www.linkedin.com/jobs/view/4303038081,,Software Engineering Intern,Microsoft,"Puducherry, Puducherry, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303030133,linkedin,https://www.linkedin.com/jobs/view/4303030133,,Software Engineering Intern,Microsoft,"Madhya Pradesh, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
li-4303022941,linkedin,https://www.linkedin.com/jobs/view/4303022941,,Software Engineering Intern,Microsoft,"Arunachal Pradesh, India",,,,,,,,FALSE,,,,,,,https://www.linkedin.com/company/microsoft,,,,,,,,,,,,
